2025-08-28 14:08:54 | INFO     | app.logger:setup_logger:83 | {} | Logger configurado para financas_backend
2025-08-28 14:13:23 | INFO     | app.database:connect_to_mongo:28 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Conectado ao MongoDB com sucesso
2025-08-28 14:13:23 | SUCCESS  | app.main:lifespan:20 | {'event': 'startup'} | Aplicação iniciada com sucesso
2025-08-28 14:17:41 | INFO     | app.main:lifespan:26 | {'event': 'shutdown'} | Encerrando a aplicação
2025-08-28 14:17:41 | INFO     | app.database:close_mongo_connection:39 | {} | Conexão com MongoDB fechada
2025-08-28 14:17:41 | INFO     | app.main:lifespan:28 | {'event': 'shutdown'} | Aplicação encerrada
2025-08-28 14:17:41 | INFO     | app.logger:setup_logger:83 | {} | Logger configurado para financas_backend
2025-08-28 14:17:41 | INFO     | app.main:lifespan:17 | {'event': 'startup'} | Iniciando aplicação FastAPI
2025-08-28 14:17:41 | INFO     | app.database:connect_to_mongo:18 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Iniciando conexão com mongoDB
2025-08-28 14:17:41 | DEBUG    | app.database:connect_to_mongo:19 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Database: finances-db
2025-08-28 14:17:41 | DEBUG    | app.database:connect_to_mongo:20 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | URL: mongodb://admin:password@localhost:27017/finances-db?authSource=admin&replicaSet=rs0
2025-08-28 14:17:41 | INFO     | app.database:connect_to_mongo:28 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Conectado ao MongoDB com sucesso
2025-08-28 14:17:41 | SUCCESS  | app.main:lifespan:20 | {'event': 'startup'} | Aplicação iniciada com sucesso
2025-08-28 14:19:58 | INFO     | app.main:lifespan:26 | {'event': 'shutdown'} | Encerrando a aplicação
2025-08-28 14:19:58 | INFO     | app.database:close_mongo_connection:39 | {} | Conexão com MongoDB fechada
2025-08-28 14:19:58 | INFO     | app.main:lifespan:28 | {'event': 'shutdown'} | Aplicação encerrada
2025-08-28 14:19:58 | INFO     | app.logger:setup_logger:83 | {} | Logger configurado para financas_backend
2025-08-28 14:19:58 | INFO     | app.main:lifespan:17 | {'event': 'startup'} | Iniciando aplicação FastAPI
2025-08-28 14:19:58 | INFO     | app.database:connect_to_mongo:18 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Iniciando conexão com mongoDB
2025-08-28 14:19:58 | DEBUG    | app.database:connect_to_mongo:19 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Database: finances-db
2025-08-28 14:19:58 | DEBUG    | app.database:connect_to_mongo:20 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | URL: mongodb://admin:password@localhost:27017/finances-db?authSource=admin&replicaSet=rs0
2025-08-28 14:19:58 | INFO     | app.database:connect_to_mongo:28 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Conectado ao MongoDB com sucesso
2025-08-28 14:19:58 | SUCCESS  | app.main:lifespan:20 | {'event': 'startup'} | Aplicação iniciada com sucesso
2025-08-28 14:20:01 | INFO     | app.main:lifespan:26 | {'event': 'shutdown'} | Encerrando a aplicação
2025-08-28 14:20:01 | INFO     | app.database:close_mongo_connection:39 | {} | Conexão com MongoDB fechada
2025-08-28 14:20:01 | INFO     | app.main:lifespan:28 | {'event': 'shutdown'} | Aplicação encerrada
2025-08-28 14:20:03 | INFO     | app.logger:setup_logger:83 | {} | Logger configurado para financas_backend
2025-08-28 14:20:03 | INFO     | app.main:lifespan:17 | {'event': 'startup'} | Iniciando aplicação FastAPI
2025-08-28 14:20:03 | INFO     | app.database:connect_to_mongo:18 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Iniciando conexão com mongoDB
2025-08-28 14:20:03 | DEBUG    | app.database:connect_to_mongo:19 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Database: finances-db
2025-08-28 14:20:03 | DEBUG    | app.database:connect_to_mongo:20 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | URL: mongodb://admin:password@localhost:27017/finances-db?authSource=admin&replicaSet=rs0
2025-08-28 14:20:03 | INFO     | app.database:connect_to_mongo:28 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Conectado ao MongoDB com sucesso
2025-08-28 14:20:03 | SUCCESS  | app.main:lifespan:20 | {'event': 'startup'} | Aplicação iniciada com sucesso
2025-08-28 14:20:18 | INFO     | app.main:root:54 | {} | Endpoint inicializado
2025-08-28 14:21:08 | INFO     | app.routes.transacoes_routes:criar_transacao:46 | {'http_method': 'POST', 'endpoint': '/transacoes', 'data': {'tipo': <TipoTransacao.ENTRADA: 'entrada'>, 'valor': 123.1, 'descricao': 'Pagamento cliente XYZ', 'categoria': 'alimentação', 'subcategoria': 'restaurante', 'forma_pagamento': <TipoPagamento.CREDITO: 'credito'>, 'e_parcelado': False, 'parcelas': 1, 'total_parcelas': 10, 'natureza_transacao': <NaturezaTransacao.PJ: 'pj'>, 'data_transacao': datetime.datetime(2025, 8, 7, 0, 0)}} | Recebendo dados de nova transação
2025-08-28 14:21:08 | DEBUG    | app.routes.transacoes_routes:criar_transacao:55 | {'http_method': 'POST', 'endpoint': '/transacoes', 'acknowledged': True, 'inserted_id': '68b09004b18e182f5a927515'} | Resultado insert_one
2025-08-28 14:21:08 | SUCCESS  | app.routes.transacoes_routes:criar_transacao:67 | {'http_method': 'POST', 'endpoint': '/transacoes', 'transaction_id': '68b09004b18e182f5a927515'} | Transação criada com sucesso
2025-08-28 14:21:27 | INFO     | app.routes.transacoes_routes:buscar_transacao_por_id:98 | {'http_method': 'GET', 'endpoint': '/transacoes/68b09004b18e182f5a927515', 'transaction_id': '68b09004b18e182f5a927515'} | Buscando transação no banco
2025-08-28 14:21:27 | SUCCESS  | app.routes.transacoes_routes:buscar_transacao_por_id:109 | {'http_method': 'GET', 'endpoint': '/transacoes/68b09004b18e182f5a927515', 'transaction_id': '68b09004b18e182f5a927515'} | Transação retornada com sucesso
2025-08-28 14:56:45 | INFO     | app.main:lifespan:26 | {'event': 'shutdown'} | Encerrando a aplicação
2025-08-28 14:56:45 | INFO     | app.database:close_mongo_connection:39 | {} | Conexão com MongoDB fechada
2025-08-28 14:56:45 | INFO     | app.main:lifespan:28 | {'event': 'shutdown'} | Aplicação encerrada
2025-08-28 14:56:45 | INFO     | app.logger:setup_logger:83 | {} | Logger configurado para financas_backend
2025-08-28 14:56:45 | INFO     | app.main:lifespan:17 | {'event': 'startup'} | Iniciando aplicação FastAPI
2025-08-28 14:56:45 | INFO     | app.database:connect_to_mongo:18 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Iniciando conexão com mongoDB
2025-08-28 14:56:45 | DEBUG    | app.database:connect_to_mongo:19 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Database: finances-db
2025-08-28 14:56:45 | DEBUG    | app.database:connect_to_mongo:20 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | URL: mongodb://admin:password@localhost:27017/finances-db?authSource=admin&replicaSet=rs0
2025-08-28 14:56:45 | INFO     | app.database:connect_to_mongo:28 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Conectado ao MongoDB com sucesso
2025-08-28 14:56:45 | SUCCESS  | app.main:lifespan:20 | {'event': 'startup'} | Aplicação iniciada com sucesso
2025-08-28 14:58:18 | INFO     | app.routes.categorias_routes:listar_categorias:33 | {'http_method': 'GET', 'endpoint': '/categorias'} | Listando todas as categorias
2025-08-28 14:58:18 | SUCCESS  | app.routes.categorias_routes:listar_categorias:49 | {'http_method': 'GET', 'endpoint': '/categorias'} | 0 categorias listadas
2025-08-28 15:09:43 | INFO     | app.main:lifespan:26 | {'event': 'shutdown'} | Encerrando a aplicação
2025-08-28 15:09:43 | INFO     | app.database:close_mongo_connection:39 | {} | Conexão com MongoDB fechada
2025-08-28 15:09:43 | INFO     | app.main:lifespan:28 | {'event': 'shutdown'} | Aplicação encerrada
2025-08-28 15:09:44 | INFO     | app.logger:setup_logger:83 | {} | Logger configurado para financas_backend
2025-08-28 15:09:44 | INFO     | app.main:lifespan:17 | {'event': 'startup'} | Iniciando aplicação FastAPI
2025-08-28 15:09:44 | INFO     | app.database:connect_to_mongo:18 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Iniciando conexão com mongoDB
2025-08-28 15:09:44 | DEBUG    | app.database:connect_to_mongo:19 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Database: finances-db
2025-08-28 15:09:44 | DEBUG    | app.database:connect_to_mongo:20 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | URL: mongodb://admin:password@localhost:27017/finances-db?authSource=admin&replicaSet=rs0
2025-08-28 15:09:44 | INFO     | app.database:connect_to_mongo:28 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Conectado ao MongoDB com sucesso
2025-08-28 15:09:44 | SUCCESS  | app.main:lifespan:20 | {'event': 'startup'} | Aplicação iniciada com sucesso
2025-08-28 15:13:13 | INFO     | app.routes.categorias_routes:criar_categoria:72 | {'http_method': 'POST', 'endpoint': '/categorias', 'data': {'categoria_nome': 'Marketing', 'limite': 5000.0, 'subcategorias': ['Google Ads', 'Facebook Ads', 'Design Gráfico']}} | Criando categoria
2025-08-28 15:13:13 | DEBUG    | app.routes.categorias_routes:criar_categoria:80 | {'http_method': 'POST', 'endpoint': '/categorias', 'acknowledged': True, 'inserted_id': '68b09c391be6500909ce6ef3'} | Resultado insert_one
2025-08-28 15:13:33 | INFO     | app.main:lifespan:26 | {'event': 'shutdown'} | Encerrando a aplicação
2025-08-28 15:13:33 | INFO     | app.database:close_mongo_connection:39 | {} | Conexão com MongoDB fechada
2025-08-28 15:13:33 | INFO     | app.main:lifespan:28 | {'event': 'shutdown'} | Aplicação encerrada
2025-08-28 15:13:38 | INFO     | app.logger:setup_logger:83 | {} | Logger configurado para financas_backend
2025-08-28 15:13:33 | INFO     | app.main:lifespan:17 | {'event': 'startup'} | Iniciando aplicação FastAPI
2025-08-28 15:13:33 | INFO     | app.database:connect_to_mongo:18 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Iniciando conexão com mongoDB
2025-08-28 15:13:33 | DEBUG    | app.database:connect_to_mongo:19 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Database: finances-db
2025-08-28 15:13:33 | DEBUG    | app.database:connect_to_mongo:20 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | URL: mongodb://admin:password@localhost:27017/finances-db?authSource=admin&replicaSet=rs0
2025-08-28 15:13:33 | INFO     | app.database:connect_to_mongo:28 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Conectado ao MongoDB com sucesso
2025-08-28 15:13:33 | SUCCESS  | app.main:lifespan:20 | {'event': 'startup'} | Aplicação iniciada com sucesso
2025-08-28 15:13:33 | INFO     | app.logger:setup_logger:83 | {} | Logger configurado para financas_backend
2025-08-28 15:13:34 | INFO     | app.main:lifespan:17 | {'event': 'startup'} | Iniciando aplicação FastAPI
2025-08-28 15:13:34 | INFO     | app.database:connect_to_mongo:18 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Iniciando conexão com mongoDB
2025-08-28 15:13:34 | DEBUG    | app.database:connect_to_mongo:19 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Database: finances-db
2025-08-28 15:13:34 | DEBUG    | app.database:connect_to_mongo:20 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | URL: mongodb://admin:password@localhost:27017/finances-db?authSource=admin&replicaSet=rs0
2025-08-28 15:13:34 | INFO     | app.database:connect_to_mongo:28 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Conectado ao MongoDB com sucesso
2025-08-28 15:13:34 | SUCCESS  | app.main:lifespan:20 | {'event': 'startup'} | Aplicação iniciada com sucesso
2025-08-28 15:13:40 | INFO     | app.routes.categorias_routes:criar_categoria:72 | {'http_method': 'POST', 'endpoint': '/categorias', 'data': {'categoria_nome': 'Marketing', 'limite': 5000.0, 'subcategorias': ['Google Ads', 'Facebook Ads', 'Design Gráfico']}} | Criando categoria
2025-08-28 15:13:40 | DEBUG    | app.routes.categorias_routes:criar_categoria:80 | {'http_method': 'POST', 'endpoint': '/categorias', 'acknowledged': True, 'inserted_id': '68b09c5428b51f944925e6eb'} | Resultado insert_one
2025-08-28 15:15:52 | INFO     | app.routes.categorias_routes:criar_categoria:72 | {'http_method': 'POST', 'endpoint': '/categorias', 'data': {'categoria_nome': 'Saúde', 'limite': 1500.0, 'subcategorias': ['Plano de Saúde', 'Medicamentos', 'Consultas e Exames']}} | Criando categoria
2025-08-28 15:15:52 | DEBUG    | app.routes.categorias_routes:criar_categoria:80 | {'http_method': 'POST', 'endpoint': '/categorias', 'acknowledged': True, 'inserted_id': '68b09cd828b51f944925e6ec'} | Resultado insert_one
2025-08-28 15:17:16 | INFO     | app.main:lifespan:26 | {'event': 'shutdown'} | Encerrando a aplicação
2025-08-28 15:17:16 | INFO     | app.database:close_mongo_connection:39 | {} | Conexão com MongoDB fechada
2025-08-28 15:17:16 | INFO     | app.main:lifespan:28 | {'event': 'shutdown'} | Aplicação encerrada
2025-08-28 15:17:21 | INFO     | app.logger:setup_logger:83 | {} | Logger configurado para financas_backend
2025-08-28 15:17:21 | INFO     | app.main:lifespan:17 | {'event': 'startup'} | Iniciando aplicação FastAPI
2025-08-28 15:17:21 | INFO     | app.database:connect_to_mongo:18 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Iniciando conexão com mongoDB
2025-08-28 15:17:21 | DEBUG    | app.database:connect_to_mongo:19 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Database: finances-db
2025-08-28 15:17:21 | DEBUG    | app.database:connect_to_mongo:20 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | URL: mongodb://admin:password@localhost:27017/finances-db?authSource=admin&replicaSet=rs0
2025-08-28 15:17:21 | INFO     | app.database:connect_to_mongo:28 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Conectado ao MongoDB com sucesso
2025-08-28 15:17:21 | SUCCESS  | app.main:lifespan:20 | {'event': 'startup'} | Aplicação iniciada com sucesso
2025-08-28 15:18:47 | INFO     | app.main:lifespan:26 | {'event': 'shutdown'} | Encerrando a aplicação
2025-08-28 15:18:47 | INFO     | app.database:close_mongo_connection:39 | {} | Conexão com MongoDB fechada
2025-08-28 15:18:47 | INFO     | app.main:lifespan:28 | {'event': 'shutdown'} | Aplicação encerrada
2025-08-28 15:18:47 | INFO     | app.logger:setup_logger:83 | {} | Logger configurado para financas_backend
2025-08-28 15:18:47 | INFO     | app.main:lifespan:17 | {'event': 'startup'} | Iniciando aplicação FastAPI
2025-08-28 15:18:47 | INFO     | app.database:connect_to_mongo:18 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Iniciando conexão com mongoDB
2025-08-28 15:18:47 | DEBUG    | app.database:connect_to_mongo:19 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Database: finances-db
2025-08-28 15:18:47 | DEBUG    | app.database:connect_to_mongo:20 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | URL: mongodb://admin:password@localhost:27017/finances-db?authSource=admin&replicaSet=rs0
2025-08-28 15:18:47 | INFO     | app.database:connect_to_mongo:28 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Conectado ao MongoDB com sucesso
2025-08-28 15:18:47 | SUCCESS  | app.main:lifespan:20 | {'event': 'startup'} | Aplicação iniciada com sucesso
2025-08-28 15:19:09 | INFO     | app.routes.categorias_routes:criar_categoria:72 | {'http_method': 'POST', 'endpoint': '/categorias', 'data': {'categoria_nome': 'Saúde', 'limite': 1500.0, 'subcategorias': ['Plano de Saúde', 'Medicamentos', 'Consultas e Exames']}} | Criando categoria
2025-08-28 15:19:09 | DEBUG    | app.routes.categorias_routes:criar_categoria:80 | {'http_method': 'POST', 'endpoint': '/categorias', 'acknowledged': True, 'inserted_id': '68b09d9da76e269d1b11395d'} | Resultado insert_one
2025-08-28 15:23:42 | INFO     | app.main:lifespan:26 | {'event': 'shutdown'} | Encerrando a aplicação
2025-08-28 15:23:42 | INFO     | app.database:close_mongo_connection:39 | {} | Conexão com MongoDB fechada
2025-08-28 15:23:42 | INFO     | app.main:lifespan:28 | {'event': 'shutdown'} | Aplicação encerrada
2025-08-28 15:23:42 | INFO     | app.logger:setup_logger:83 | {} | Logger configurado para financas_backend
2025-08-28 15:23:42 | INFO     | app.main:lifespan:17 | {'event': 'startup'} | Iniciando aplicação FastAPI
2025-08-28 15:23:42 | INFO     | app.database:connect_to_mongo:18 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Iniciando conexão com mongoDB
2025-08-28 15:23:42 | DEBUG    | app.database:connect_to_mongo:19 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Database: finances-db
2025-08-28 15:23:42 | DEBUG    | app.database:connect_to_mongo:20 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | URL: mongodb://admin:password@localhost:27017/finances-db?authSource=admin&replicaSet=rs0
2025-08-28 15:23:42 | INFO     | app.database:connect_to_mongo:28 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Conectado ao MongoDB com sucesso
2025-08-28 15:23:42 | SUCCESS  | app.main:lifespan:20 | {'event': 'startup'} | Aplicação iniciada com sucesso
2025-08-28 15:23:49 | INFO     | app.routes.categorias_routes:criar_categoria:72 | {'http_method': 'POST', 'endpoint': '/categorias', 'data': {'categoria_nome': 'Saúde', 'limite': 1500.0, 'subcategorias': ['Plano de Saúde', 'Medicamentos', 'Consultas e Exames']}} | Criando categoria
2025-08-28 15:23:49 | DEBUG    | app.routes.categorias_routes:criar_categoria:80 | {'http_method': 'POST', 'endpoint': '/categorias', 'acknowledged': True, 'inserted_id': '68b09eb5292ef6b77b237770'} | Resultado insert_one
2025-08-28 15:23:49 | SUCCESS  | app.routes.categorias_routes:criar_categoria:96 | {'http_method': 'POST', 'endpoint': '/categorias', 'category_id': '68b09eb5292ef6b77b237770'} | Categoria criada com sucesso
2025-08-28 15:24:08 | INFO     | app.routes.categorias_routes:criar_categoria:72 | {'http_method': 'POST', 'endpoint': '/categorias', 'data': {'categoria_nome': 'Educação', 'limite': 3000.0, 'subcategorias': ['Cursos Online', 'Material Didático', 'Workshops e Palestras']}} | Criando categoria
2025-08-28 15:24:08 | DEBUG    | app.routes.categorias_routes:criar_categoria:80 | {'http_method': 'POST', 'endpoint': '/categorias', 'acknowledged': True, 'inserted_id': '68b09ec8292ef6b77b237771'} | Resultado insert_one
2025-08-28 15:24:08 | SUCCESS  | app.routes.categorias_routes:criar_categoria:96 | {'http_method': 'POST', 'endpoint': '/categorias', 'category_id': '68b09ec8292ef6b77b237771'} | Categoria criada com sucesso
2025-08-28 15:24:15 | INFO     | app.routes.categorias_routes:criar_categoria:72 | {'http_method': 'POST', 'endpoint': '/categorias', 'data': {'categoria_nome': 'Lazer', 'limite': 1200.0, 'subcategorias': ['Cinema e Teatro', 'Viagens', 'Hobbies']}} | Criando categoria
2025-08-28 15:24:15 | DEBUG    | app.routes.categorias_routes:criar_categoria:80 | {'http_method': 'POST', 'endpoint': '/categorias', 'acknowledged': True, 'inserted_id': '68b09ecf292ef6b77b237772'} | Resultado insert_one
2025-08-28 15:24:15 | SUCCESS  | app.routes.categorias_routes:criar_categoria:96 | {'http_method': 'POST', 'endpoint': '/categorias', 'category_id': '68b09ecf292ef6b77b237772'} | Categoria criada com sucesso
2025-08-28 15:24:22 | INFO     | app.routes.categorias_routes:criar_categoria:72 | {'http_method': 'POST', 'endpoint': '/categorias', 'data': {'categoria_nome': 'Saúde', 'limite': 1500.0, 'subcategorias': ['Plano de Saúde', 'Medicamentos', 'Consultas e Exames']}} | Criando categoria
2025-08-28 15:24:22 | DEBUG    | app.routes.categorias_routes:criar_categoria:80 | {'http_method': 'POST', 'endpoint': '/categorias', 'acknowledged': True, 'inserted_id': '68b09ed6292ef6b77b237773'} | Resultado insert_one
2025-08-28 15:24:22 | SUCCESS  | app.routes.categorias_routes:criar_categoria:96 | {'http_method': 'POST', 'endpoint': '/categorias', 'category_id': '68b09ed6292ef6b77b237773'} | Categoria criada com sucesso
2025-08-28 15:24:29 | INFO     | app.routes.categorias_routes:criar_categoria:72 | {'http_method': 'POST', 'endpoint': '/categorias', 'data': {'categoria_nome': 'Transporte', 'limite': 800.0, 'subcategorias': ['Combustível', 'Transporte Público', 'Táxi / App de Corrida']}} | Criando categoria
2025-08-28 15:24:29 | DEBUG    | app.routes.categorias_routes:criar_categoria:80 | {'http_method': 'POST', 'endpoint': '/categorias', 'acknowledged': True, 'inserted_id': '68b09edd292ef6b77b237774'} | Resultado insert_one
2025-08-28 15:24:29 | SUCCESS  | app.routes.categorias_routes:criar_categoria:96 | {'http_method': 'POST', 'endpoint': '/categorias', 'category_id': '68b09edd292ef6b77b237774'} | Categoria criada com sucesso
2025-08-28 15:24:34 | INFO     | app.routes.categorias_routes:criar_categoria:72 | {'http_method': 'POST', 'endpoint': '/categorias', 'data': {'categoria_nome': 'Alimentação', 'limite': 2000.0, 'subcategorias': ['Supermercado', 'Restaurantes', 'Lanches e Delivery']}} | Criando categoria
2025-08-28 15:24:34 | DEBUG    | app.routes.categorias_routes:criar_categoria:80 | {'http_method': 'POST', 'endpoint': '/categorias', 'acknowledged': True, 'inserted_id': '68b09ee2292ef6b77b237775'} | Resultado insert_one
2025-08-28 15:24:34 | SUCCESS  | app.routes.categorias_routes:criar_categoria:96 | {'http_method': 'POST', 'endpoint': '/categorias', 'category_id': '68b09ee2292ef6b77b237775'} | Categoria criada com sucesso
2025-08-28 15:26:15 | INFO     | app.routes.categorias_routes:listar_categorias:33 | {'http_method': 'GET', 'endpoint': '/categorias'} | Listando todas as categorias
2025-08-28 15:26:51 | INFO     | app.main:lifespan:26 | {'event': 'shutdown'} | Encerrando a aplicação
2025-08-28 15:26:51 | INFO     | app.database:close_mongo_connection:39 | {} | Conexão com MongoDB fechada
2025-08-28 15:26:51 | INFO     | app.main:lifespan:28 | {'event': 'shutdown'} | Aplicação encerrada
2025-08-28 15:26:52 | INFO     | app.logger:setup_logger:83 | {} | Logger configurado para financas_backend
2025-08-28 15:26:52 | INFO     | app.main:lifespan:17 | {'event': 'startup'} | Iniciando aplicação FastAPI
2025-08-28 15:26:52 | INFO     | app.database:connect_to_mongo:18 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Iniciando conexão com mongoDB
2025-08-28 15:26:52 | DEBUG    | app.database:connect_to_mongo:19 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Database: finances-db
2025-08-28 15:26:52 | DEBUG    | app.database:connect_to_mongo:20 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | URL: mongodb://admin:password@localhost:27017/finances-db?authSource=admin&replicaSet=rs0
2025-08-28 15:26:52 | INFO     | app.database:connect_to_mongo:28 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Conectado ao MongoDB com sucesso
2025-08-28 15:26:52 | SUCCESS  | app.main:lifespan:20 | {'event': 'startup'} | Aplicação iniciada com sucesso
2025-08-28 15:26:53 | INFO     | app.routes.categorias_routes:listar_categorias:33 | {'http_method': 'GET', 'endpoint': '/categorias'} | Listando todas as categorias
2025-08-28 15:26:53 | SUCCESS  | app.routes.categorias_routes:listar_categorias:49 | {'http_method': 'GET', 'endpoint': '/categorias'} | 10 categorias listadas
2025-08-28 15:27:43 | INFO     | app.routes.transacoes_routes:criar_transacao:46 | {'http_method': 'POST', 'endpoint': '/transacoes', 'data': {'tipo': <TipoTransacao.ENTRADA: 'entrada'>, 'valor': 12000.0, 'descricao': 'Faturamento projeto Alpha', 'categoria': 'Serviços', 'subcategoria': 'Consultoria', 'forma_pagamento': <TipoPagamento.CREDITO: 'credito'>, 'e_parcelado': True, 'parcelas': 3, 'total_parcelas': 3, 'natureza_transacao': <NaturezaTransacao.PJ: 'pj'>, 'data_transacao': datetime.datetime(2025, 8, 15, 0, 0)}} | Recebendo dados de nova transação
2025-08-28 15:27:43 | DEBUG    | app.routes.transacoes_routes:criar_transacao:55 | {'http_method': 'POST', 'endpoint': '/transacoes', 'acknowledged': True, 'inserted_id': '68b09f9fc1d01012006f5102'} | Resultado insert_one
2025-08-28 15:27:43 | SUCCESS  | app.routes.transacoes_routes:criar_transacao:67 | {'http_method': 'POST', 'endpoint': '/transacoes', 'transaction_id': '68b09f9fc1d01012006f5102'} | Transação criada com sucesso
2025-08-28 15:27:52 | INFO     | app.routes.transacoes_routes:criar_transacao:46 | {'http_method': 'POST', 'endpoint': '/transacoes', 'data': {'tipo': <TipoTransacao.ENTRADA: 'entrada'>, 'valor': 2500.5, 'descricao': 'Venda de produto artesanal', 'categoria': 'Vendas', 'subcategoria': 'Artesanato', 'forma_pagamento': <TipoPagamento.PIX: 'pix'>, 'e_parcelado': False, 'parcelas': None, 'total_parcelas': None, 'natureza_transacao': <NaturezaTransacao.PF: 'pf'>, 'data_transacao': datetime.datetime(2025, 8, 20, 0, 0)}} | Recebendo dados de nova transação
2025-08-28 15:27:52 | DEBUG    | app.routes.transacoes_routes:criar_transacao:55 | {'http_method': 'POST', 'endpoint': '/transacoes', 'acknowledged': True, 'inserted_id': '68b09fa8c1d01012006f5103'} | Resultado insert_one
2025-08-28 15:27:52 | SUCCESS  | app.routes.transacoes_routes:criar_transacao:67 | {'http_method': 'POST', 'endpoint': '/transacoes', 'transaction_id': '68b09fa8c1d01012006f5103'} | Transação criada com sucesso
